name,addr,type,source,namespace,is_primary
DAT_08002394,0x08002394,Label,DEFAULT,Global,1
DAT_080023a4,0x080023A4,Label,DEFAULT,Global,1
DAT_08002494,0x08002494,Label,DEFAULT,Global,1
DAT_080024f0,0x080024F0,Label,DEFAULT,Global,1
DAT_08002514,0x08002514,Label,DEFAULT,Global,1
DAT_08002588,0x08002588,Label,DEFAULT,Global,1
DAT_08002590,0x08002590,Label,DEFAULT,Global,1
DAT_08002600,0x08002600,Label,DEFAULT,Global,1
DAT_08002694,0x08002694,Label,DEFAULT,Global,1
SUB_080026b8,0x080026B8,Label,DEFAULT,Global,1
DAT_08002734,0x08002734,Label,DEFAULT,Global,1
DAT_08002740,0x08002740,Label,DEFAULT,Global,1
DAT_080028dc,0x080028DC,Label,DEFAULT,Global,1
DAT_0800292c,0x0800292C,Label,DEFAULT,Global,1
DAT_08002958,0x08002958,Label,DEFAULT,Global,1
DAT_0800295c,0x0800295C,Label,DEFAULT,Global,1
DAT_08002b2c,0x08002B2C,Label,DEFAULT,Global,1
DAT_08002b60,0x08002B60,Label,DEFAULT,Global,1
DAT_08002c00,0x08002C00,Label,DEFAULT,Global,1
DAT_08002c58,0x08002C58,Label,DEFAULT,Global,1
DAT_08002c5c,0x08002C5C,Label,DEFAULT,Global,1
DAT_08002cc0,0x08002CC0,Label,DEFAULT,Global,1
DAT_08002d6c,0x08002D6C,Label,DEFAULT,Global,1
DAT_08002d98,0x08002D98,Label,DEFAULT,Global,1
DAT_08002e24,0x08002E24,Label,DEFAULT,Global,1
DAT_08002e28,0x08002E28,Label,DEFAULT,Global,1
DAT_08002e88,0x08002E88,Label,DEFAULT,Global,1
DAT_08003014,0x08003014,Label,DEFAULT,Global,1
DAT_0800301c,0x0800301C,Label,DEFAULT,Global,1
DAT_08003038,0x08003038,Label,DEFAULT,Global,1
DAT_0800305c,0x0800305C,Label,DEFAULT,Global,1
DAT_0800319c,0x0800319C,Label,DEFAULT,Global,1
DAT_08003238,0x08003238,Label,DEFAULT,Global,1
DAT_08003254,0x08003254,Label,DEFAULT,Global,1
DAT_08003300,0x08003300,Label,DEFAULT,Global,1
DAT_08003308,0x08003308,Label,DEFAULT,Global,1
DAT_080035ec,0x080035EC,Label,DEFAULT,Global,1
DAT_08003604,0x08003604,Label,DEFAULT,Global,1
DAT_080036c4,0x080036C4,Label,DEFAULT,Global,1
DAT_0800370c,0x0800370C,Label,DEFAULT,Global,1
DAT_080037ec,0x080037EC,Label,DEFAULT,Global,1
DAT_080037f8,0x080037F8,Label,DEFAULT,Global,1
DAT_080038a8,0x080038A8,Label,DEFAULT,Global,1
DAT_080039e4,0x080039E4,Label,DEFAULT,Global,1
DAT_08003a00,0x08003A00,Label,DEFAULT,Global,1
DAT_08003a14,0x08003A14,Label,DEFAULT,Global,1
DAT_08003a8c,0x08003A8C,Label,DEFAULT,Global,1
DAT_08003b00,0x08003B00,Label,DEFAULT,Global,1
DAT_08003cc0,0x08003CC0,Label,DEFAULT,Global,1
DAT_08003e78,0x08003E78,Label,DEFAULT,Global,1
DAT_08003f04,0x08003F04,Label,DEFAULT,Global,1
DAT_08003fd8,0x08003FD8,Label,DEFAULT,Global,1
DAT_0800421c,0x0800421C,Label,DEFAULT,Global,1
DAT_080042f8,0x080042F8,Label,DEFAULT,Global,1
DAT_0800437c,0x0800437C,Label,DEFAULT,Global,1
DAT_08004408,0x08004408,Label,DEFAULT,Global,1
DAT_08004468,0x08004468,Label,DEFAULT,Global,1
DAT_0800447c,0x0800447C,Label,DEFAULT,Global,1
DAT_080045d4,0x080045D4,Label,DEFAULT,Global,1
DAT_08004668,0x08004668,Label,DEFAULT,Global,1
DAT_080046f4,0x080046F4,Label,DEFAULT,Global,1
DAT_08004750,0x08004750,Label,DEFAULT,Global,1
DAT_0800490c,0x0800490C,Label,DEFAULT,Global,1
DAT_08004980,0x08004980,Label,DEFAULT,Global,1
DAT_0800498c,0x0800498C,Label,DEFAULT,Global,1
DAT_08004998,0x08004998,Label,DEFAULT,Global,1
DAT_080049a4,0x080049A4,Label,DEFAULT,Global,1
DAT_08004af4,0x08004AF4,Label,DEFAULT,Global,1
DAT_08004b34,0x08004B34,Label,DEFAULT,Global,1
DAT_08004bdc,0x08004BDC,Label,DEFAULT,Global,1
DAT_08004d2c,0x08004D2C,Label,DEFAULT,Global,1
DAT_08004ed4,0x08004ED4,Label,DEFAULT,Global,1
DAT_08004f8c,0x08004F8C,Label,DEFAULT,Global,1
DAT_08005018,0x08005018,Label,DEFAULT,Global,1
DAT_080050f8,0x080050F8,Label,DEFAULT,Global,1
DAT_08005118,0x08005118,Label,DEFAULT,Global,1
DAT_0800533c,0x0800533C,Label,DEFAULT,Global,1
DAT_08005404,0x08005404,Label,DEFAULT,Global,1
DAT_08005590,0x08005590,Label,DEFAULT,Global,1
DAT_08005790,0x08005790,Label,DEFAULT,Global,1
DAT_08005858,0x08005858,Label,DEFAULT,Global,1
DAT_08005d80,0x08005D80,Label,DEFAULT,Global,1
DAT_08005d8c,0x08005D8C,Label,DEFAULT,Global,1
DAT_08005edc,0x08005EDC,Label,DEFAULT,Global,1
DAT_08005f6c,0x08005F6C,Label,DEFAULT,Global,1
DAT_08006010,0x08006010,Label,DEFAULT,Global,1
DAT_080060a0,0x080060A0,Label,DEFAULT,Global,1
DAT_0800612c,0x0800612C,Label,DEFAULT,Global,1
DAT_0800624c,0x0800624C,Label,DEFAULT,Global,1
DAT_080063c0,0x080063C0,Label,DEFAULT,Global,1
DAT_080065e0,0x080065E0,Label,DEFAULT,Global,1
DAT_080067dc,0x080067DC,Label,DEFAULT,Global,1
DAT_080067e8,0x080067E8,Label,DEFAULT,Global,1
DAT_080068c0,0x080068C0,Label,DEFAULT,Global,1
DAT_08006b40,0x08006B40,Label,DEFAULT,Global,1
DAT_080072e8,0x080072E8,Label,DEFAULT,Global,1
DAT_080074d4,0x080074D4,Label,DEFAULT,Global,1
DAT_08007508,0x08007508,Label,DEFAULT,Global,1
DAT_080076f4,0x080076F4,Label,DEFAULT,Global,1
DAT_080078e0,0x080078E0,Label,DEFAULT,Global,1
DAT_080079c8,0x080079C8,Label,DEFAULT,Global,1
DAT_08007b74,0x08007B74,Label,DEFAULT,Global,1
DAT_08007b78,0x08007B78,Label,DEFAULT,Global,1
DAT_08007b7c,0x08007B7C,Label,DEFAULT,Global,1
DAT_08007b80,0x08007B80,Label,DEFAULT,Global,1
DAT_08007b84,0x08007B84,Label,DEFAULT,Global,1
DAT_08007b88,0x08007B88,Label,DEFAULT,Global,1
DAT_08007b90,0x08007B90,Label,DEFAULT,Global,1
DAT_08007b94,0x08007B94,Label,DEFAULT,Global,1
DAT_08007b98,0x08007B98,Label,DEFAULT,Global,1
DAT_08007b9c,0x08007B9C,Label,DEFAULT,Global,1
DAT_08007ba0,0x08007BA0,Label,DEFAULT,Global,1
DAT_08007ba4,0x08007BA4,Label,DEFAULT,Global,1
DAT_08007ba8,0x08007BA8,Label,DEFAULT,Global,1
DAT_08007bac,0x08007BAC,Label,DEFAULT,Global,1
DAT_08007bb0,0x08007BB0,Label,DEFAULT,Global,1
DAT_08007bb4,0x08007BB4,Label,DEFAULT,Global,1
DAT_08007bb8,0x08007BB8,Label,DEFAULT,Global,1
DAT_08007bbc,0x08007BBC,Label,DEFAULT,Global,1
DAT_08007bc0,0x08007BC0,Label,DEFAULT,Global,1
DAT_08007bc4,0x08007BC4,Label,DEFAULT,Global,1
DAT_08007bc8,0x08007BC8,Label,DEFAULT,Global,1
DAT_08007bcc,0x08007BCC,Label,DEFAULT,Global,1
DAT_08007bd0,0x08007BD0,Label,DEFAULT,Global,1
DAT_08007bd4,0x08007BD4,Label,DEFAULT,Global,1
DAT_08007bd8,0x08007BD8,Label,DEFAULT,Global,1
DAT_08007bdc,0x08007BDC,Label,DEFAULT,Global,1
DAT_08007be0,0x08007BE0,Label,DEFAULT,Global,1
DAT_08007be4,0x08007BE4,Label,DEFAULT,Global,1
DAT_08007be8,0x08007BE8,Label,DEFAULT,Global,1
DAT_08007bf0,0x08007BF0,Label,DEFAULT,Global,1
DAT_08007c00,0x08007C00,Label,DEFAULT,Global,1
DAT_08007c18,0x08007C18,Label,DEFAULT,Global,1
DAT_08007c20,0x08007C20,Label,DEFAULT,Global,1
DAT_08007c24,0x08007C24,Label,DEFAULT,Global,1
DAT_08007c28,0x08007C28,Label,DEFAULT,Global,1
DAT_08007c2c,0x08007C2C,Label,DEFAULT,Global,1
DAT_08007c30,0x08007C30,Label,DEFAULT,Global,1
DAT_08007c34,0x08007C34,Label,DEFAULT,Global,1
DAT_08007c38,0x08007C38,Label,DEFAULT,Global,1
DAT_08007c3c,0x08007C3C,Label,DEFAULT,Global,1
DAT_08007c40,0x08007C40,Label,DEFAULT,Global,1
DAT_08007c44,0x08007C44,Label,DEFAULT,Global,1
DAT_08007c48,0x08007C48,Label,DEFAULT,Global,1
DAT_08007c4c,0x08007C4C,Label,DEFAULT,Global,1
DAT_08007c50,0x08007C50,Label,DEFAULT,Global,1
DAT_08007c54,0x08007C54,Label,DEFAULT,Global,1
DAT_08007c58,0x08007C58,Label,DEFAULT,Global,1
DAT_08007c5c,0x08007C5C,Label,DEFAULT,Global,1
DAT_08007c60,0x08007C60,Label,DEFAULT,Global,1
DAT_08007c64,0x08007C64,Label,DEFAULT,Global,1
DAT_08007c68,0x08007C68,Label,DEFAULT,Global,1
DAT_08007c6c,0x08007C6C,Label,DEFAULT,Global,1
DAT_08007c70,0x08007C70,Label,DEFAULT,Global,1
DAT_08007c74,0x08007C74,Label,DEFAULT,Global,1
DAT_08007c78,0x08007C78,Label,DEFAULT,Global,1
DAT_08007c7c,0x08007C7C,Label,DEFAULT,Global,1
DAT_08007c80,0x08007C80,Label,DEFAULT,Global,1
DAT_08007c84,0x08007C84,Label,DEFAULT,Global,1
DAT_08007c88,0x08007C88,Label,DEFAULT,Global,1
DAT_08007c8c,0x08007C8C,Label,DEFAULT,Global,1
DAT_08007c90,0x08007C90,Label,DEFAULT,Global,1
DAT_08007c94,0x08007C94,Label,DEFAULT,Global,1
DAT_08007c98,0x08007C98,Label,DEFAULT,Global,1
DAT_08007c9c,0x08007C9C,Label,DEFAULT,Global,1
DAT_08007ca0,0x08007CA0,Label,DEFAULT,Global,1
DAT_08007ca4,0x08007CA4,Label,DEFAULT,Global,1
DAT_08007ca8,0x08007CA8,Label,DEFAULT,Global,1
DAT_08007cac,0x08007CAC,Label,DEFAULT,Global,1
DAT_08007cb0,0x08007CB0,Label,DEFAULT,Global,1
DAT_08007cb4,0x08007CB4,Label,DEFAULT,Global,1
DAT_08007cb8,0x08007CB8,Label,DEFAULT,Global,1
DAT_08007cbc,0x08007CBC,Label,DEFAULT,Global,1
DAT_08007cc0,0x08007CC0,Label,DEFAULT,Global,1
DAT_08007cc4,0x08007CC4,Label,DEFAULT,Global,1
DAT_08007cc8,0x08007CC8,Label,DEFAULT,Global,1
DAT_08007ccc,0x08007CCC,Label,DEFAULT,Global,1
DAT_08007cd0,0x08007CD0,Label,DEFAULT,Global,1
DAT_08007cd4,0x08007CD4,Label,DEFAULT,Global,1
DAT_08007cd8,0x08007CD8,Label,DEFAULT,Global,1
DAT_08007cdc,0x08007CDC,Label,DEFAULT,Global,1
DAT_08007ce0,0x08007CE0,Label,DEFAULT,Global,1
DAT_08007ce4,0x08007CE4,Label,DEFAULT,Global,1
DAT_08007ce8,0x08007CE8,Label,DEFAULT,Global,1
DAT_08007cec,0x08007CEC,Label,DEFAULT,Global,1
DAT_08007cf0,0x08007CF0,Label,DEFAULT,Global,1
DAT_08007cf4,0x08007CF4,Label,DEFAULT,Global,1
DAT_08007cf8,0x08007CF8,Label,DEFAULT,Global,1
DAT_08007cfc,0x08007CFC,Label,DEFAULT,Global,1
DAT_08007d00,0x08007D00,Label,DEFAULT,Global,1
DAT_08007d04,0x08007D04,Label,DEFAULT,Global,1
DAT_08007d08,0x08007D08,Label,DEFAULT,Global,1
DAT_08007d0c,0x08007D0C,Label,DEFAULT,Global,1
DAT_08007d10,0x08007D10,Label,DEFAULT,Global,1
DAT_08007d14,0x08007D14,Label,DEFAULT,Global,1
DAT_080083bc,0x080083BC,Label,DEFAULT,Global,1
